unique_id;date;duration;kind;day_night;national;region;type;event_name;event_link;club;map;location;coord_x;coord_y;deadline;entryportal;last_modification
12002;13.01.2023;1;ski;day;0;GL/GR;SC201;5. Ski-OL Val Müstair, Sprint;https://www.ski-o-swiss.ch/ausschreibung?event=2223_fuldera;Ski-O Swiss;Fuldera;Fuldera, LL-Zentrum;825325;165950;02.01.2023;3;07.01.2023 02:04
11624;14.01.2023;1;foot;day;0;BE/SO;;Kärteler-Tagung;https://www.swiss-orienteering.ch/php_includes/pages/courseware/?id=37;Swiss Orienteering;Olten;;635775;244200;11.01.2023;3;10.01.2023 23:18
11721;14.01.2023;1;ski;day;0;GL/GR;SC202;6. Ski-OL Val Müstair;https://www.ski-o-swiss.ch/ausschreibung?event=2223_mustair;Ski-O Swiss;Tschierv;;821900;168075;02.01.2023;3;07.01.2023 02:04
11629;14.01.2023;1;foot;day;0;AG;401S;Treslagstaffel;https://www.olgcordoba.ch/index.php/treslag-staffel/;Cordoba OLC Junior Team;Töbeli-Nussbaumen;Obersiggenthal;663675;260600;08.01.2023;2;27.12.2022 17:30
11763;15.01.2023;1;foot;day;0;ZH/SH;*1;Winter Stadt OL;https://www.kapreolo.ch/wettkampfe/.html;OLC Kapreolo;Kloten;Kloten;686425;256700;11.01.2023;2;10.01.2023 23:18
11722;15.01.2023;1;ski;day;0;GL/GR;SC203;7. Ski-OL Val Müstair, Ski-OL SM Langdistanz;https://www.ski-o-swiss.ch/ausschreibung?event=2223_mustair;Ski-O Swiss;Tschierv ;;821900;168075;02.01.2023;3;07.01.2023 02:04
11889;21.01.2023;1;foot;day;0;BE/SO;101;Metsässä 6;https://bern-by-night.ch/;ol norska / Niggli Events;Rotiholz;Arnisäge;2616200;1198000;;2;08.12.2022 17:02
11998;21.01.2023;1;ski;day;0;AUSL.;SC204;CO à ski Prémanon;https://www.ski-o-swiss.ch/ausschreibung?event=2223_premanon;OJura;Prémanon;Prémanon;492525;144575;16.01.2023;3;07.01.2023 02:03
11807;22.01.2023;1;foot;day;0;NWS;102;Swiss Billygoat Run;https://www.olv-baselland.ch/wp-content/uploads/2022/12/Ausschreibung_Billygoat_2023.pdf;OLV Baselland;Gelterkinderberg;;2631425;256750;15.01.2023;5;24.12.2022 10:09
12005;22.01.2023;1;ski;day;0;AUSL.;SC205;CO à ski Prémanon;https://www.ski-o-swiss.ch/ausschreibung?event=2223_premanon;OJura;Prémanon;Prémanon;492550;144575;16.01.2023;3;07.01.2023 02:03
11808;28.01.2023;1;foot;day;0;NWS;103;Basler Winter OL;https://olg-basel.ch/;OLG Basel;Brislachallmet;;600;250;22.01.2023;5;24.12.2022 12:07
11810;04.02.2023;1;foot;day;0;NWS;*2;107. muba-OL;;OLC Binningen;Allschwilerwald;;608975;265500;02.02.2023;5;08.12.2022 16:22
11910;12.02.2023;1;foot;day;0;TI;104;1. Fragori;http://www.asti-ticino.ch/co/;CO AGET Lugano;Lumino;;724850;120525;08.02.2023;1;21.01.2023 00:44
12090;25.02.2023;1;foot;day;0;TI;SC;Ski OL SM Sprintdistanz;https://www.ski-o-swiss.ch/ausschreibung?event=2223_ticino;ASTI / Ski-O Swiss;Dalpe;;702475;148525;20.02.2023;3;07.01.2023 02:04
11826;26.02.2023;1;foot;day;0;NOS;*3;16. Stöff Memorial OL;https://olregiowil.ch/termine/kalender/eventdetail/753/14/stoeff-memorial-ol;OL Regio Wil;Skihütte;;715375;254200;25.02.2023;2;13.12.2022 00:46
12092;26.02.2023;1;ski;day;0;TI;SC;Ski OL Mitteldistanz     ;https://www.ski-o-swiss.ch;ASTI / Ski-O Swiss;Dalpe;;702500;148525;20.02.2023;3;03.01.2023 14:42
